MonitorData,MOD13A2_Nearest4,USElevation_dsc10000,USElevation_max100,USElevation_max10000,USElevation_mea100,USElevation_mea10000,USElevation_med100,USElevation_med10000,USElevation_min100,USElevation_min10000,USElevation_std100,USElevation_std10000,USElevation_bln100,USElevation_bln10000,NLCD_Barren100,NLCD_Barren10000,NLCD_Developed100,NLCD_Developed10000,NLCD_Herbaceous100,NLCD_Herbaceous10000,NLCD_Planted100,NLCD_Planted10000,NLCD_Shrubland100,NLCD_Shrubland10000,NLCD_Water100,NLCD_Water10000,NLCD_Wetlands100,NLCD_Wetlands10000,NLCD_Impervious100,NLCD_Impervious10000,RoadDensity_primaryroads1000,RoadDensity_primaryroads10000,RoadDensity_prisecroads1000,RoadDensity_prisecroads10000,RoadDensity_roads1000,Business_Restaurant1000,REANALYSIS_hpbl_DailyMax,REANALYSIS_shum_2m_DailyMax,REANALYSIS_windspeed_10m_DailyMax,REANALYSIS_prate_DailyMax,REANALYSIS_vis_DailyMax,REANALYSIS_apcp_DailyMean,REANALYSIS_dlwrf_DailyMean,REANALYSIS_dswrf_DailyMean,REANALYSIS_evap_DailyMean,REANALYSIS_hpbl_DailyMean,REANALYSIS_gflux_DailyMean,REANALYSIS_lhtfl_DailyMean,REANALYSIS_shtfl_DailyMean,REANALYSIS_shum_2m_DailyMean,REANALYSIS_snowc_DailyMean,REANALYSIS_soilm_DailyMean,REANALYSIS_tcdc_DailyMean,REANALYSIS_ulwrf_DailyMean,REANALYSIS_omega_DailyMean,REANALYSIS_windspeed_10m_DailyMean,REANALYSIS_weasd_DailyMean,REANALYSIS_prate_DailyMean,REANALYSIS_vis_DailyMean,REANALYSIS_hpbl_DailyMin,REANALYSIS_shum_2m_DailyMin,REANALYSIS_windspeed_10m_DailyMin,REANALYSIS_prate_DailyMin,REANALYSIS_vis_DailyMin,REANALYSIS_hpbl_1Day,REANALYSIS_shum_2m_1Day,REANALYSIS_windspeed_10m_1Day,REANALYSIS_prate_1Day,REANALYSIS_vis_1Day,MOD11A1_LST_Day_1km_Nearest4,MOD11A1_LST_Night_1km_Nearest4,MOD11A1_Clear_day_cov_Nearest4,MOD11A1_Clear_night_cov_Nearest4,MAIACUS_Optical_Depth_047_Aqua_Nearest4,MAIACUS_Optical_Depth_055_Aqua_Nearest4,MAIACUS_Optical_Depth_047_Terra_Nearest4,MAIACUS_Optical_Depth_055_Terra_Nearest4,MAIACUS_cosVZA_Aqua_Nearest,MAIACUS_cosVZA_Terra_Nearest,REANALYSIS_air_sfc_DailyMin,REANALYSIS_air_sfc_DailyMean,REANALYSIS_air_sfc_DailyMax,REANALYSIS_air_sfc_1Day,Other_Lat,Other_Lon,CalendarDay,Spatial_Lagged_1,Spatial_Lagged_2,Spatial_Lagged_3,Temporal_Lagged_1,Temporal_Lagged_2,Temporal_Lagged_3,GFEDFireCarbon,CMAQ_NO2,CMAQ_NO2_Vertical,CMAQ_Ozone,CMAQ_Ozone_Vertical,CMAQ_PM25_TOT,CMAQ_PM25_Vertical,CMAQ_PM25_NO3,CMAQ_PM25_SO4,OMAEROe_UVAerosolIndex_Mean,OMAEROe_VISAerosolIndex_Mean,OMAERUVd_UVAerosolIndex_Mean,OMNO2d_ColumnAmountNO2StratoCloudScreened_Mean,OMSO2e_ColumnAmountSO2_PBL_Mean,OMUVBd_UVindex_Mean,OMTO3e_ColumnAmountO3,OMO3PR,MOD04L2_550,MOD09A1,PM25_Region,Ozone_Region,NO2_Region,Nearby_Peak2_NO2,Nearby_Peak2_PM25,Nearby_Peak2_Ozone,Nearby_Peak2Lag1_NO2,Nearby_Peak2Lag1_PM25,Nearby_Peak2Lag1_Ozone,Nearby_Peak2Lag3_NO2,Nearby_Peak2Lag3_PM25,Nearby_Peak2Lag3_Ozone
NaN,4300.68622924462,26.7905006408691,43,30.1434993743896,36,26.5042991638184,36,26.5286998748779,33,23.0876007080078,1,1.64139997959137,37,27.5799999237061,0,0.0063400000333786,0.100000001490116,0.0570009984076023,0,0.0516600005328655,0,0.323519998788834,0,0.0394000001251698,0,0.13425999879837,0,0.1041400000453,1,5.4,0,0,2.40752100944519,0.45000296831131,10.4666833877563,343.774688720703,1573.07916259766,0.00929301953874528,4.78667432862833,2.18004470298183e-06,20008.564453125,0,277.716796875,183.341796875,0.916769500559894,751.12043762207,NaN,-212.210052490234,-89.2770690917969,0.00683647776895668,0.5,NaN,15.28125,386.400390625,0.133074507117271,5.3098473590297,0,-1.23352616299144e-06,19056.8405151367,372.393508911133,0.00378430908313021,10.6604443471696,-5.69656367588323e-06,12406.5947265625,417.991425991058,0.00843809520301875,2.0974799933201,-1.09264620284932e-06,18126.6241912842,284.737857822041,280.8403893346,0.309294360008024,0.199999825395886,0.0195181330589077,0.0132590665294539,0.0238356032658811,0.0162237355105874,0.8255,0.6687,286.299407958984,288.619426727295,291.130264282227,290.041194915771,-1020987.4736,744874.5967,733408,1,1,1,1,1,1,0,15.1324241161346,0.222885069482689,36.3015344142914,0.033021504989805,5.1528176565965,0.076671095599417,0.281073858204763,0.858590182227393,0.779999986290932,-23.3125,0.2466000020504,1.85973812808909e+15,0.0946044772863388,3.86587142944336,267.574996948242,0.00115306649842121,56,496.309875271973,22,13,13,18.2989441122993,5.6947366493151,37.3054881533625,18.2989441122993,5.6947366493151,37.3054881533625,18.2989441122993,5.6947366493151,37.3054881533625
NaN,4288.70770782305,26.7905006408691,43,30.1434993743896,36,26.5042991638184,36,26.5286998748779,33,23.0876007080078,1,1.64139997959137,37,27.5799999237061,0,0.0063400000333786,0.100000001490116,0.0570009984076023,0,0.0516600005328655,0,0.323519998788834,0,0.0394000001251698,0,0.13425999879837,0,0.1041400000453,1,5.4,0,0,2.40752100944519,0.45000296831131,10.4666833877563,343.774688720703,1474.52188110352,0.0040326090529561,9.26005720999689,7.31310183255118e-06,20007.888671875,0,218.35546875,187.697265625,1.65679772058502,1136.25221633911,NaN,-383.475433349609,-215.299530029297,0.00332284080286627,0.5,NaN,0,367.35546875,0.288804210722446,9.9959230132535,0,-1.52907386130607e-06,20007.0229492188,850.443054199219,0.00266129962983541,11.569493200723,-8.33240210340591e-06,20006.30078125,751.12043762207,0.00683647776895668,5.3098473590297,-1.23352616299144e-06,19056.8405151367,280.030847255941,276.791604872529,0.2,0.4,0.0353903310226972,0.0241308432668961,0.0549646689811335,0.0373532224521871,0.5533,0.8729,281.714004516602,284.616355895996,287.693328857422,288.619426727295,-1020987.4736,744874.5967,733409,1,1,1,1,1,1,0,2.75633931159974,0.113093306927298,33.5084537267685,0.0328329357527954,4.39636724193891,0.0888128091679521,1.64193042218297,0.481953346791367,0.287499994039536,-23.2049999237061,0.145599996671081,1.89395113292595e+15,0.290830297395587,3.65451407432556,280.449996948242,0.0010552812808135,21.5,495.253946731314,22,13,13,9.79254733963614,4.72690327612645,33.5034947596432,18.2989441122993,5.6947366493151,37.3054881533625,18.2989441122993,5.6947366493151,37.3054881533625
NaN,4276.72918640149,26.7905006408691,43,30.1434993743896,36,26.5042991638184,36,26.5286998748779,33,23.0876007080078,1,1.64139997959137,37,27.5799999237061,0,0.0063400000333786,0.100000001490116,0.0570009984076023,0,0.0516600005328655,0,0.323519998788834,0,0.0394000001251698,0,0.13425999879837,0,0.1041400000453,1,5.4,0,0,2.40752100944519,0.45000296831131,10.4666833877563,343.774688720703,1269.83386230469,0.00347362103639171,4.03314350020022,8.34995626064483e-06,20008.5546875,0.00341796875,227.751953125,172.771484375,1.34188918443397,916.947504043579,NaN,-310.620239257812,-208.505584716797,0.00309182640194194,0.5,NaN,12.96875,364.603515625,0.301762737333775,7.53189906325878,0,4.75432977076196e-06,20006.59765625,612.667678833008,0.00276813909295015,11.3515676707582,9.62710700491698e-07,20004.630859375,1136.25221633911,0.00332284080286627,9.9959230132535,-1.52907386130607e-06,20007.0229492188,276.862285295456,NaN,0.4,NaN,NaN,NaN,0.0443774661436278,0.0302828889945472,0.9787,0.5075,281.055908203125,283.81031036377,289.529525756836,284.616355895996,-1020987.4736,744874.5967,733410,1,1,1,1,1,1,0,3.54133898019792,0.140946141158533,31.8173414468765,0.0320441379641905,5.93726172794898,0.108791255134917,1.91983071661525,0.883819532270233,-0.0725000016391277,-9.98500001430511,0.0891000013798475,1.9377979087913e+15,0.0233761221170425,3.42129409313202,254.5,0.00110326472801039,57.25,494.198018190656,22,13,13,22.9100654046493,10.3880578495273,31.0361833644991,9.79254733963614,4.72690327612645,33.5034947596432,18.2989441122993,5.6947366493151,37.3054881533625
9.1,4264.75066497992,26.7905006408691,43,30.1434993743896,36,26.5042991638184,36,26.5286998748779,33,23.0876007080078,1,1.64139997959137,37,27.5799999237061,0,0.0063400000333786,0.100000001490116,0.0570009984076023,0,0.0516600005328655,0,0.323519998788834,0,0.0394000001251698,0,0.13425999879837,0,0.1041400000453,1,5.4,0,0,2.40752100944519,0.45000296831131,10.4666833877563,343.774688720703,1615.44952392578,0.00684661685954779,5.51618466378451,4.88758564642922e-06,20006.4926757812,0.00749184933374636,282.67578125,173.9609375,0.888857519687008,1244.43368148804,NaN,-205.759704589844,-91.8373107910156,0.00531075675098691,0.5,NaN,39.15625,377.1953125,-0.00346149504184723,6.49235138130642,0,7.81942753658171e-07,19962.0378417969,942.964950561523,0.00355049868812785,8.33974406813184,-3.29543723864845e-06,19704.8955078125,916.947504043579,0.00309182640194194,7.53189906325878,4.75432977076196e-06,20006.59765625,286.877088192811,NaN,0.199130577947753,NaN,NaN,NaN,0.0551534020529474,0.0374473783749204,0.42,0.9954,283.061172485352,286.230335235596,291.939170837402,283.81031036377,-1020987.4736,744874.5967,733411,1,1,1,1,1,1,0,4.32550424337389,0.192097692186284,38.0390198230743,0.0363451674974406,12.6168691863616,0.129574851767268,2.20052199275233,1.36687885473172,0.350000001490116,-20.8224997520447,0.325050000101328,1.8417357642793e+15,-0.171097815036774,3.85533130168915,266.550003051758,0.0011097928868326,110.5,493.142089649997,22,13,13,20.3000409046191,9.24404052324618,38.1252629102128,22.9100654046493,10.3880578495273,31.0361833644991,18.2989441122993,5.6947366493151,37.3054881533625
NaN,4252.77214355836,26.7905006408691,43,30.1434993743896,36,26.5042991638184,36,26.5286998748779,33,23.0876007080078,1,1.64139997959137,37,27.5799999237061,0,0.0063400000333786,0.100000001490116,0.0570009984076023,0,0.0516600005328655,0,0.323519998788834,0,0.0394000001251698,0,0.13425999879837,0,0.1041400000453,1,5.4,0,0,2.40752100944519,0.45000296831131,10.4666833877563,343.774688720703,1643.07327270508,0.0105749296490103,8.49663669528729,6.947680049052e-06,20007.76171875,0.0130670841608662,335.74609375,115.92578125,0.541913884109817,1403.22853851318,NaN,-125.42236328125,-31.353271484375,0.00883664510911331,0.5,NaN,60.0625,394.986328125,-0.157779656350613,7.87969267318779,0,1.05760979218772e-06,19362.7560424805,1220.34091186523,0.00721884670201689,8.23470453270638,-4.58152271676227e-06,15456.3051757812,1244.43368148804,0.00531075675098691,6.49235138130642,7.81942753658171e-07,19962.0378417969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9705,0.4612,287.050598144531,289.78694152832,293.743713378906,286.230335235596,-1020987.4736,744874.5967,733412,1,1,1,1,1,1,0,4.14875787496567,0.395486804731097,38.5335245132446,0.0367071180211527,5.72449804842472,0.136616088479717,0.106059507331035,1.76671004419525,-0.357499999925494,-6.27249994874001,0.229900002479553,1.80474125641318e+15,-0.296537384390831,2.86482548713684,255.125,0.00110900115585512,NaN,492.086161109338,22,13,13,11.2855701499785,10.7151238539027,38.865985952427,20.3000409046191,9.24404052324618,38.1252629102128,9.79254733963614,4.72690327612645,33.5034947596432
NaN,4240.79362213679,26.7905006408691,43,30.1434993743896,36,26.5042991638184,36,26.5286998748779,33,23.0876007080078,1,1.64139997959137,37,27.5799999237061,0,0.0063400000333786,0.100000001490116,0.0570009984076023,0,0.0516600005328655,0,0.323519998788834,0,0.0394000001251698,0,0.13425999879837,0,0.1041400000453,1,5.4,0,0,2.40752100944519,0.45000296831131,10.4666833877563,343.774688720703,1277.82907104492,0.0121048323344439,6.39830250988042,9.63683032750851e-06,20007.9169921875,0.00341796875,359.052734375,162.3359375,0.253428373354836,767.584303855896,NaN,-58.6611633300781,-19.089599609375,0.0114554054744076,0.5,NaN,37,409.890625,-0.259419970214367,5.94538770267656,0,1.68564557156969e-06,18350.8435058594,393.224220275879,0.0108753903768957,7.19436007573488,-5.24897291143134e-06,13206.1218261719,1403.22853851318,0.00883664510911331,7.87969267318779,1.05760979218772e-06,19362.7560424805,295.08,282.079016943867,0.0206829834344531,0.125365682497364,NaN,NaN,NaN,NaN,0.5568,0.9399,290.446243286133,292.639358520508,297.095886230469,289.78694152832,-1020987.4736,744874.5967,733413,1,1,1,1,1,1,0,3.49492520093918,0.449196541829135,39.9328242540359,0.0343118052857257,2.74533071617285,0.0935617257891031,0.0482326011988334,0.834613643276195,0.480000004172325,-10.3699998855591,0.36107499524951,1.79813612519424e+15,0.131772078573704,3.70588314533234,263.199996948242,0.00104705252538577,197.75,491.030232568679,22,13,13,10.1490587046549,7.98307709724466,36.4377520170934,11.2855701499785,10.7151238539027,38.865985952427,22.9100654046493,10.3880578495273,31.0361833644991
3.7,4228.81510071523,26.7905006408691,43,30.1434993743896,36,26.5042991638184,36,26.5286998748779,33,23.0876007080078,1,1.64139997959137,37,27.5799999237061,0,0.0063400000333786,0.100000001490116,0.0570009984076023,0,0.0516600005328655,0,0.323519998788834,0,0.0394000001251698,0,0.13425999879837,0,0.1041400000453,1,5.4,0,0,2.40752100944519,0.45000296831131,10.4666833877563,343.774688720703,780.91569519043,0.0130303523037583,5.55784868446389,3.44552586284408e-06,20008.853515625,0,332.416015625,173.890625,0.157007687434088,435.94043803215,NaN,-36.364990234375,-17.5000305175781,0.0119263156084344,0.5,NaN,2.5625,408.876953125,-0.030948668718338,5.26487467200693,0,-2.73338216416619e-06,17750.5300750732,121.761449813843,0.0109830333385617,5.76002405330144,-8.7500229710713e-06,12355.4838867188,767.584303855896,0.0114554054744076,5.94538770267656,1.68564557156969e-06,18350.8435058594,291.473816225439,289.32,0.121587348413411,0.0141594949550974,NaN,NaN,NaN,NaN,0.8131,0.6037,289.878265380859,292.474090576172,297.406173706055,292.639358520508,-1020987.4736,744874.5967,733414,1,1,1,1,1,1,0,3.62250101566315,0.477061277060428,39.8608498573303,0.0346587829223379,2.38950204911331,0.106049473026763,0.0325936317506906,0.92681421743085,-0.60249999538064,-17.2700002193451,0.294150002300739,1.82005910627942e+15,0.0879882657900453,3.56619930267334,251.425003051758,0.00108595606788199,NaN,489.97430402802,22,13,13,12.6184307235406,5.12344027522419,35.8480668299241,10.1490587046549,7.98307709724465,36.4377520170934,20.3000409046191,9.24404052324618,38.1252629102128
NaN,4216.83657929366,26.7905006408691,43,30.1434993743896,36,26.5042991638184,36,26.5286998748779,33,23.0876007080078,1,1.64139997959137,37,27.5799999237061,0,0.0063400000333786,0.100000001490116,0.0570009984076023,0,0.0516600005328655,0,0.323519998788834,0,0.0394000001251698,0,0.13425999879837,0,0.1041400000453,1,5.4,0,0,2.40752100944519,0.45000296831131,10.4666833877563,343.774688720703,637.379486083984,0.0136039124336094,6.78109873906777,5.07200479660241e-06,20007.4775390625,0.0018624462900334,339.853515625,174.404296875,0.117454255875145,506.042964935303,NaN,-27.1829833984375,-19.2371215820312,0.0123479588946793,0.5,NaN,6.90625,410.5625,-0.0046154111623764,6.22091208751963,0,-4.05036704620443e-07,15175.767326355,387.716606140137,0.011376837734133,6.13280918193998,-4.6727064955121e-06,12206.6662597656,435.94043803215,0.0119263156084344,5.26487467200693,-2.73338216416619e-06,17750.5300750732,NaN,288.613893292425,NaN,0.199138049498128,NaN,NaN,NaN,NaN,0.7307,0.7627,290.193664550781,292.777629852295,297.608795166016,292.474090576172,-1020987.4736,744874.5967,733415,1,1,1,1,1,1,0,2.95795303583145,0.449560604308597,40.7395589351654,0.0365549183395416,2.24194744974375,0.0946574811165888,0.023718030124049,0.616980990705391,0.310000006109476,-13.9850001335144,0.415199995040894,1.79664877466419e+15,0.113401088863611,3.77856504917145,253.650001525879,0.00109699119737825,180,488.918375487362,22,13,13,14.7504764108011,7.66823404703499,37.4450769349586,12.6184307235406,5.12344027522418,35.8480668299241,11.2855701499785,10.7151238539027,38.865985952427
NaN,4204.8580578721,26.7905006408691,43,30.1434993743896,36,26.5042991638184,36,26.5286998748779,33,23.0876007080078,1,1.64139997959137,37,27.5799999237061,0,0.0063400000333786,0.100000001490116,0.0570009984076023,0,0.0516600005328655,0,0.323519998788834,0,0.0394000001251698,0,0.13425999879837,0,0.1041400000453,1,5.4,0,0,2.40752100944519,0.45000296831131,10.4666833877563,343.774688720703,1140.63888549805,0.013624440645799,6.13600595797975,7.6984296356386e-05,18857.5158691406,0.156028136378154,381.4375,145.83203125,0.0908285825380517,459.532707214355,NaN,-21.0177307128906,-16.8427734375,0.0129559662018437,0.5,NaN,51.875,413.814453125,-0.0752860978245735,2.87964968774236,0,1.38917538876626e-05,9250.76065474749,78.115514755249,0.0121010465081781,3.17284467572527,-4.50098059445736e-06,206.146106004715,506.042964935303,0.0123479588946793,6.22091208751963,-4.05036704620443e-07,15175.767326355,295.217670878164,287.816130907373,0.2,0.197992882689203,NaN,NaN,0.215,0.149,0.6313,0.7815,290.75764465332,293.335929870605,297.290588378906,292.777629852295,-1020987.4736,744874.5967,733416,1,1,1,1,1,1,0,21.9373860359192,0.273644229332049,40.6420276165009,0.0364218752028386,3.21843672792117,0.104833508101185,0.0287556978776896,1.3756133976082,-0.675000011920929,-1.81999999284744,0.38782500103116,1.73161162840474e+15,NaN,3.15117561817169,254.774997711182,0.00102891424286914,143.75,487.862446946703,22,13,13,22.6277712911903,7.7862400656321,29.7948743967966,14.7504764108011,7.66823404703499,37.4450769349586,10.1490587046549,7.98307709724465,36.4377520170934
3.6,4192.87953645053,26.7905006408691,43,30.1434993743896,36,26.5042991638184,36,26.5286998748779,33,23.0876007080078,1,1.64139997959137,37,27.5799999237061,0,0.0063400000333786,0.100000001490116,0.0570009984076023,0,0.0516600005328655,0,0.323519998788834,0,0.0394000001251698,0,0.13425999879837,0,0.1041400000453,1,5.4,0,0,2.40752100944519,0.45000296831131,10.4666833877563,343.774688720703,598.794273376465,0.0136629166081548,7.74598517219088,0.00011603952589212,19557.4584960938,0.082275390625,384.28515625,103.96484375,0.0615945431745786,401.158144712448,NaN,-14.2621154785156,-9.88510131835938,0.0130345644138288,0.5,NaN,73.71875,410.181640625,-0.121984027326107,5.25108881624548,0,1.52702315290298e-05,13369.2209281921,78.2057361602783,0.0122771707829088,3.47763831985976,-3.73193142877426e-06,5706.31262207031,459.532707214355,0.0129559662018437,2.87964968774236,1.38917538876626e-05,9250.76065474749,NaN,290.96,NaN,0.0488,NaN,NaN,NaN,NaN,0.9145,0.5836,291.045501708984,292.65087890625,295.441947937012,293.335929870605,-1020987.4736,744874.5967,733417,1,1,1,1,1,1,0,5.55665266513825,0.361057975666637,39.2658823728561,0.0368925428622498,1.59851228569945,0.0756827683832982,0.0174459648551419,0.772175443824382,0.817499995231628,-2.96000008285046,0.199125003069639,1.85617081381683e+15,-0.0947090536355972,2.7731294631958,252.450004577637,0.00100572008413831,NaN,496.49162296613,22,13,13,9.93038473852064,3.65679923362086,35.9946493921183,22.6277712911903,7.7862400656321,29.7948743967966,12.6184307235406,5.12344027522418,35.8480668299241
