SiteCode,Lat,Lon
010030010,-1020987.4736,744874.5967
010270001,-694663.0507,900074.9963
010331002,-547976.8235,723592.795
010491003,-585649.5693,873204.9912
010550010,-618622.3825,874848.336
010690003,-917394.0233,962947.8874
010730023,-674592.3905,808117.5001
010731005,-700748.0594,794009.4582
010731010,-673054.1042,831512.2761
010732003,-681443.5572,799134.093
010732059,-678341.1297,805917.6581
010890014,-547342.9912,815155.6752
010970003,-992547.5663,723260.7027
011011002,-795277.6845,869984.0282
011030011,-568026.2694,783986.7187
011130001,-775932.3298,981110.2761
011210002,-700524.0459,852142.7977
011250004,-720422.2842,753185.9622
020200018,3199294.7345,-2756102.8324
020201004,3202780.8467,-2737119.5337
020900010,3478029.7193,-2442387.5512
020900034,3478634.2195,-2442294.0346
020900035,3459678.653,-2429678.5255
021100004,2510514.5541,-2161984.9614
021700008,3205953.7995,-2700105.4178
021700012,3214187.8691,-2699482.2238
040031005,-868457.5084,-1225132.4348
040128000,-491293.3357,-1523172.4391
040130019,-597047.3575,-1416573.295
040131003,-609351.0164,-1393884.5818
040131004,-589882.755,-1408455.8028
040132001,-586377.038,-1419079.9174
040134003,-606902.7343,-1412308.378
040134005,-608067.9079,-1399904.4742
040134019,-609319.3171,-1403107.5758
040134020,-599706.3003,-1415758.4521
040137020,-600998.3255,-1391568.5251
040139812,-603688.8262,-1415573.5936
040139997,-595593.969,-1412119.2401
040190011,-740688.4123,-1341796.0691
040191028,-744523.8892,-1337337.2821
040210001,-669289.282,-1394256.2376
040213002,-613661.288,-1362203.0932
040213015,-664098.9321,-1419067.7485
040230004,-849984.3328,-1350675.4575
040278011,-641800.7663,-1648547.4449
050010011,-598921.3811,386014.3557
050030005,-753610.646,358838.6685
050350005,-517084.7557,499783.2678
050510003,-609488.9207,260979.7443
050670001,-473340.1655,411586.1997
051130002,-599616.1934,154086.2448
051190007,-575394.9778,322189.1615
051191008,-583858.6076,318419.8194
051390006,-746952.4526,294799.326
051430005,-422390.6881,159921.5406
060010007,44996.7032,-2113747.073
060010009,59938.9188,-2142746.036
060010011,70222.6777,-2149424.9664
060010012,67523.0979,-2148585.9104
060010013,76022.8858,-2149463.0577
060070008,267333.851,-2053771.7624
060090001,74895.8876,-2010330.4877
060110007,198574.9124,-2111210.8912
